"LIB_MOD";"CODGEO";"P18_POP15P";"P08_NSCOL15P";"P08_NSCOL15P_DIPL0";"P08_NSCOL15P_BAC";"P08_NSCOL15P_BACP2";"P08_NSCOL15P_SUP";"P13_NSCOL15P";"P13_NSCOL15P_DIPLMIN";"P13_NSCOL15P_BAC";"P13_NSCOL15P_SUP";"P18_NSCOL15P";"P18_NSCOL15P_DIPLMIN";"P18_NSCOL15P_BAC";"P18_NSCOL15P_SUP2";"P18_NSCOL15P_SUP34";"P18_NSCOL15P_SUP5";"SUP_08_%";"SUP_13_%";"SUP_18_%";"SUP_08_18_%";"SUP_13_18_%"
"Paris";75056;1878752.61674007;1593680.42208151;215215.537527843;238480.715605321;194801.676164986;651204.479699651;1604650.29791372;328697.5983123;229369.52758043;914174.417678495;1585300.1957315;197864.474765539;199783.435899911;131210.485989704;244743.763152621;623399.336538148;24;57;63;162;11
"Antony";92002;51120.2643781662;41572.6967439127;4126.04317685652;6412.45846824196;5622.10847063989;13941.3441628573;42872.0469986504;8415.43908652496;6300.79383887171;22607.1193520355;44010.9627246897;4724.24369073169;5770.42623195357;4936.08917906622;6374.9333421806;15402.8421072446;27;53;61;126;15
"Asnières-sur-Seine";92004;68700.0535571339;56782.0939189152;9769.38804479751;9199.61368077093;7780.67038016522;15689.6040379774;59970.7733763111;14575.9015607774;9347.62313411099;28381.7349630621;59996.348360147;9176.79869238408;8625.88014300216;6356.98241859024;8107.29791531807;17559.1058520173;27;47;53;96;13
"Bagneux";92007;32225.1293817677;26671.4762076346;5015.72560695765;4564.41997715075;3123.83491995854;3721.04523022927;26586.7898785462;8979.38448805104;4699.90316816293;7829.70753335768;27794.8841808269;5790.82101424431;4930.45798629894;2708.85667267853;3107.70035596277;4253.94314614781;23;29;36;57;24
"Bois-Colombes";92009;22947.3802878168;19440.7957026701;2511.85069630718;3153.8480292505;2960.12290160381;5404.22128983414;19912.5317164821;4523.42387731732;3010.46427663651;9825.9888518916;19864.6563029341;2573.96344655734;2925.45481240519;2251.39880315399;3052.34468881525;5765.01350263725;30;49;56;87;14
"Boulogne-Billancourt";92012;101066.361832885;81819.5666879848;9730.36508497634;12546.0132328407;11162.4288482937;32318.8206998708;84285.7333562058;15591.2794789479;12024.3532889056;49303.5843868664;87960.0434088942;9190.91805411196;11055.7251660348;8540.2489647557;14061.7802340156;35477.7110627609;27;58;66;144;14
"Bourg-la-Reine";92014;17040.4158301229;14015.2817580782;1221.33079588325;1899.59298622616;1888.42546124109;6305.58516226093;13693.6928791455;2507.77461863637;1802.97671730677;8193.26324402152;14326.6312295986;1233.68861163725;1727.46744646449;1429.47674218375;2128.07219032914;6016.73175599721;27;60;67;148;12
"Châtenay-Malabry";92019;27769.4661861388;20834.5619734396;3191.56798578338;3151.0505264524;2904.10994768817;5516.40020084775;21508.1068676539;5243.44863887978;3410.0288515123;9407.77186691638;23381.1875020967;3677.18500217959;3433.74555117113;2701.63768170407;2982.42809059057;5807.56114284782;28;44;49;75;11
"Châtillon";92020;30020.165269659;23253.2990001759;2498.86421573014;3998.54627960124;3710.60952244327;6459.72557208605;25464.6498658902;5287.299965503;4110.98692451184;12729.0824508385;26144.6162576887;3506.84842922838;3751.79145728738;3275.9445914518;3378.64178034872;7531.57657632894;32;50;54;69;8
"Chaville";92022;16809.0775351804;13040.4274280618;1238.57075134706;2002.79844963611;2005.20689612509;4546.23188825219;13974.1930223873;2893.57710148758;1927.9965293293;7561.99306407639;14667.8992394992;1740.16416730805;1752.03566893239;1606.99258646483;2216.33199255737;5077.95854172012;31;54;61;97;13
"Clamart";92023;42837.4327755989;36467.9800950534;5061.69561345349;5669.52821339115;5231.25699997678;9422.86414746161;36993.2167384601;9269.38856684974;6112.10263423853;15941.4332891535;37343.6767916726;5731.38230427816;5687.77460655978;4693.2403236152;4927.68791581297;8783.02046722131;29;43;49;69;14
"Clichy";92024;50536.2519819853;41271.1807909803;10212.6821250435;6530.57241729075;5235.45056849651;8082.46307673849;41867.4848666362;12535.452707025;6770.17641074192;16311.1336506858;43571.6696439669;9230.74395901603;6645.14409747388;4432.05578498365;5348.35476438628;10183.9349255027;25;39;46;84;18
"Colombes";92025;67969.6935349098;57383.5221581738;11999.2965051294;9548.6988080427;7292.88650699853;11027.2042120477;57462.9359062171;17502.3968813498;9290.97930852999;21132.3677475104;58709.2755402671;11809.9810446211;9101.78301528399;6494.12393439448;7002.32806994425;12241.0648418277;25;37;44;76;19
"Courbevoie";92026;67644.3708162278;60665.7556790542;6102.29272964632;9899.95029885866;9039.97375759786;22748.6078988271;60029.551723015;10604.6351272711;9683.55923233796;33409.7953405564;58318.8103679172;5533.81746405882;8573.61405182265;6541.51524960449;8490.63865123266;21147.7056119159;30;56;62;107;11
"Fontenay-aux-Roses";92032;20110.452482079;16907.4341883237;1786.52620534283;2901.21648762464;2295.23283444985;5313.69716024246;15499.0975745336;3442.52354241103;2403.6322847271;7407.08948547641;17068.504737173;2403.06251514226;2621.10730809728;1989.70299469587;2230.79738849338;4542.52574790621;27;48;51;89;6
"Garches";92033;14539.8472590952;12546.031753002;1209.22483805322;1914.28510918066;1882.76521608937;4859.44091345323;12117.2131075243;2281.89044782578;1770.11098859663;6740.1409813699;12493.7872571926;1311.41315078167;1818.29227848744;1388.47301621993;1855.10097363329;4341.30725146456;30;56;61;103;9
"La Garenne-Colombes";92035;23856.8358110044;19266.0861676356;2298.67445222051;2910.85045238828;2927.54859115161;5598.72160556721;20085.5281515986;4007.77414377321;3075.00331840044;10357.6518751362;20927.714192016;2220.86109680325;2980.63486546784;2654.53789382329;2952.36608226915;6570.23912081279;30;52;58;93;12
"Gennevilliers";92036;36902.1529615176;28634.958142762;10372.6636756135;4075.80592412805;2429.37377324409;2055.06162145188;29684.3616761522;12339.1705415169;4785.86944816658;6096.7273533249;32056.2116407234;10600.2616075095;5578.49307664857;2848.7796151405;2295.01088697438;2822.57724253281;17;21;25;47;19
"Issy-les-Moulineaux";92040;55927.0618761952;45065.2056945728;4881.57929277358;6732.99566690802;6522.71842285253;16758.32431059;46569.0084937364;8403.2610301302;6843.48451110952;26675.4047460167;48847.0899848564;4908.43715706905;6175.97245133241;5297.00279447611;7331.82850177514;18614.068519575;29;57;64;121;12
"Levallois-Perret";92044;53585.7530334929;45548.916931327;5352.96162731407;6816.63063333031;5667.02414120525;18140.4648283005;46321.0147435945;9029.98188452462;6721.84841069385;25819.0151858843;46994.7411504042;5057.60155861897;5982.44743864607;4823.94701160322;6728.03692677321;18063.8966444812;25;56;63;152;12
"Malakoff";92046;25369.62678035;21860.2200524395;3643.27516757919;3643.866943267;2757.11619461847;4493.55979024183;21694.5802590333;6034.67251052231;3660.26626034568;8540.3572405047;21613.9049298815;3847.71017928807;3388.90646254357;2140.57662937188;2990.66123218564;4915.56197091637;25;39;46;84;18
"Marnes-la-Coquette";92047;1431.01865889213;1102.64446472687;95.7929737043691;170.362232678198;156.080368860864;539.630517569716;1093.93242277269;136.504005743026;173.831679266342;706.192669764747;1203.91214771623;120.876967930029;149.84742468416;115.744217687075;202.552380952381;507.414382896016;28;65;69;146;6
"Meudon";92048;37039.5434461483;31776.0071536022;4315.1218228296;5089.80081413867;3996.08091880231;9930.77901580252;31865.1548114316;6445.26959955729;5025.37519367962;16054.8634744604;32337.1535754742;4790.54319102056;4446.82212881249;3482.52396803706;4321.57073701523;9524.00438500556;25;50;54;116;8
"Montrouge";92049;41071.1674586573;33953.2721570802;3511.49505105648;5434.92767432954;5233.88889065216;11603.9219584408;35655.0421483008;6853.58914929575;5279.9312955855;19197.5029864146;35169.1179690521;4361.90225214177;4551.05777495029;3742.81566298698;4953.38970675312;11853.5336432831;31;54;58;87;7
"Nanterre";92050;76594.1521643788;60042.2526535309;14387.7247087586;9482.64457392949;7601.21370051104;9851.15889367465;61590.9503949334;21543.0958433655;9703.32355823912;19313.8936847259;65344.8249509865;15350.5979241896;10041.3507945297;6460.4344219371;6859.0929498211;12824.7086599943;25;31;40;60;29
"Neuilly-sur-Seine";92051;49936.8185433736;43486.4868996424;4047.69814387459;7554.09908478504;4816.90457324859;21772.7021519619;44364.1886777314;6704.35317601938;6612.84043948093;28753.9260630101;43058.4962314359;3658.91362621989;5745.05405636735;2939.60252816645;7006.91058895622;20086.6172514512;22;65;70;218;8
"Le Plessis-Robinson";92060;23532.6945030544;17689.5374968813;2185.46531742985;3155.20374383412;2550.9791864095;4400.0449340398;19982.8891856723;3689.80617501641;3237.94859405158;9594.33787377035;20998.3136352361;2534.17415000674;3629.63939497015;3006.8341057526;2762.93492067552;4974.01726402412;29;48;51;76;6
"Puteaux";92062;36750.1072419823;31690.3861794301;4760.18710150397;4991.70359475819;4085.42871811974;10102.3986985564;31374.7007576412;6494.35542890569;4797.23523612463;16481.5869266905;32126.0452186321;4094.63268125955;4363.91194604646;3267.60695321677;4069.30975304775;11338.5418125592;26;53;58;123;9
"Rueil-Malmaison";92063;62531.8098354739;54225.8083393668;5879.20625749879;8353.22027715583;7898.97912777094;18130.7999315972;54980.6934988601;10601.3156494367;8204.7757132487;28784.0033621974;54119.5529735293;6297.95871269201;7463.07443013018;6577.3013888294;7417.27451838746;16884.5721062599;29;52;57;97;10
"Saint-Cloud";92064;24125.9681213197;20641.2191115262;1721.27313208966;3476.04785908552;2496.24368884491;9613.33941196072;20300.054584928;3085.28522731374;2905.00339899263;12887.0417469893;20631.7585139818;1728.36675615389;2388.28173330658;1980.66026001;3169.44124232192;9131.41547324774;24;63;69;188;10
"Sceaux";92071;16162.4636206466;13317.1451998834;833.612310715229;1929.61991905769;1770.56011184641;6357.47135588304;13495.3043848624;2024.85264007625;1729.85985669106;8484.17222402913;13263.1032011475;1052.87115570759;1612.10171229568;1274.3389089602;2070.75138564122;5558.44604225066;27;63;67;148;6
"Sèvres";92072;18737.2273116667;15969.7273837996;1724.5712114561;2458.92480045112;2243.12522627787;6227.89311682618;16081.9429065924;2557.29911331945;2474.38403545951;9449.74700398834;16260.3523249769;1716.6557758809;2107.59035438681;1804.43498835283;2403.58554955066;5787.87480986445;28;59;61;118;3
"Suresnes";92073;38827.9863085808;31755.1381369195;4215.5684610897;5121.22669590371;4546.85987362163;10253.5976015259;33320.5552593656;6838.0784826957;4812.53557225342;17430.4801252643;34105.0212093601;4489.71854419451;4795.33351793365;3810.04460044042;4257.71357538034;11620.5401007774;29;52;58;100;12
"Vanves";92075;23131.0891910371;18827.3069289409;1998.74205633306;3404.2227136146;2687.32731715944;5982.63798018876;19841.6831420542;3824.15822137048;3223.31154632939;10416.3029575505;19670.2558538116;2350.2910655166;2981.66496278189;2146.76237435445;3029.39704330052;6148.00043817113;29;52;58;100;12
"Vaucresson";92076;6959.53191040698;5894.07231774824;510.418213057814;939.173460957737;841.79290169184;2591.79602591676;6075.38716276873;943.140661228425;878.406196788259;3801.33523003899;6022.56301837629;577.291281687349;781.283227213679;648.889232933345;996.24630816801;2316.12067561155;29;63;66;128;5
"Ville-d'Avray";92077;8940.82141705576;7434.04444078901;587.803451297691;1199.43707422682;918.842298647681;3358.30954723496;7460.17177808949;945.97228280218;1154.8441628686;4740.19756682373;7571.60884663144;626.793740290016;1060.7750019289;873.782997426423;1312.8030393401;2832.47791035343;25;64;66;164;3
"Villeneuve-la-Garenne";92078;18346.9168432745;16334.2782885421;4650.04880516175;2583.29174050237;1563.61102865758;1616.93534840319;16608.5107355244;7476.03539544374;2697.0969270717;3167.21696561168;15837.0518797701;4811.40491038891;2989.26780287286;1472.79092806745;1170.69034631006;1290.14636822281;19;19;25;32;32
"Aubervilliers";93001;67845.3922060533;50330.459693775;20313.1858291454;7532.78007047463;3575.90900441922;3802.60690119576;52901.4938584939;27003.0824897762;8345.9878930085;9124.46213257964;58408.3168159847;23533.3607068501;9269.27128833669;4179.30557630257;4251.42217293191;4663.4284177132;14;17;22;57;29
"Aulnay-sous-Bois";93005;65949.9086787607;54025.3307409559;16867.5084375509;8449.04458958448;5035.22974207359;4697.95201201236;54541.7785606578;23699.4523136442;9170.25097300004;11228.6905090618;56936.9216525303;18760.8310415882;10436.0024730519;5244.21420746361;4347.73287599424;3887.63213486695;19;21;24;26;14
"Bagnolet";93006;28584.710265541;23435.4429081289;6636.81384659286;3511.4567396168;2332.46194804452;2917.40733642064;24469.2398298237;9651.62690046048;4038.00060146462;6476.74842615693;24928.6890112273;6632.87506899582;4199.39037248249;2237.03833696475;2723.84720017134;3653.19926260247;20;26;35;75;35
"Le Blanc-Mesnil";93007;43364.1778069677;33831.0335838112;11408.0654102975;5180.2818226726;2542.74159609822;1969.03390474896;34870.9963723912;16796.6362480806;5847.70552509516;5417.58633291497;37647.8209335148;13892.5244485025;6708.22628055792;2869.53475902755;2218.35398443309;1751.36620766602;15;16;18;20;12
"Bobigny";93008;40903.965859954;30364.5452182446;11913.6339632208;4499.47083225371;2011.83683517281;2276.41288943072;32404.0921165904;16366.8824537659;5055.2679313806;5167.73367506727;34518.4528237135;14857.6952957923;5524.24421433759;2331.47858069226;2172.04554618003;1955.39503127507;13;16;19;46;19
"Bondy";93010;41235.3464155281;35527.1871220387;10928.2849281421;5350.21993178202;3373.24835123692;3103.23283078284;35486.8919757464;15822.8598396323;6081.36783431952;7048.55420629502;35938.9569486584;12163.3665649842;6809.91395480452;2962.47954906251;2657.64020672026;2502.7955182111;19;20;23;21;15
"Le Bourget";93013;12434.2633634555;9611.86306398166;2425.06450327054;1790.10553907064;971.831121165099;1082.9535718842;10910.8264297345;4623.71973234924;1913.57880532181;2502.53460013086;10882.0861202149;3940.32533209866;1942.1150127251;820.487043755816;801.955090524148;988.423414880087;20;23;24;20;4
"Clichy-sous-Bois";93014;20846.0425228339;17441.2023421907;8366.21923756939;2455.37053137483;1119.79611124894;1025.59099131832;18292.2453536961;10256.3789959393;2604.24248363478;2358.7222620559;17672.0497970273;8175.9530757027;2796.52000239558;1197.1549109755;862.446282111665;521.295057948906;13;13;15;15;15
"Coubron";93015;3814.20567759514;3366.27988123716;410.919025401846;655.824333070384;550.888836744501;391.167437888743;3337.97812624572;807.91086365793;656.170769039345;1050.99151561831;3429.24949122389;577.848405948491;718.921721648351;497.532731257564;403.387291524844;285.863770964923;33;31;35;6;13
"La Courneuve";93027;33432.2582003856;23666.8939949101;10462.510001354;3385.57757073894;1337.52234355457;1345.83872956918;26594.5734388886;14757.6357116664;3878.87570054408;3728.79670197598;28461.8315868345;12353.2659540872;4497.32186441346;1949.97261470502;1816.66832275119;1531.52706878244;11;14;19;73;36
"Drancy";93029;56081.5398531145;46207.0011987808;15865.4801805231;6738.79460092935;3438.2223588478;3051.78275102454;47220.7106591112;22064.9819488119;7515.78603432703;7824.20108820126;49002.6629942182;18514.0628049599;8392.86835560473;3996.33150730907;3072.4225157117;2567.60710771252;15;17;20;33;18
"Dugny";93030;7994.54499399253;6804.04136226182;1891.55313190741;1270.43374950737;612.964467850156;534.55970133143;6648.74102571124;2569.72903368275;1354.21662410915;1135.36137154412;6884.61323742456;2067.11468129703;1370.80394223002;561.385070841142;541.732288481716;333.142149361364;18;17;21;17;24
"Épinay-sur-Seine";93031;41517.920523414;34653.1209377191;10837.0219020975;6255.77143588822;3095.58560731845;3407.1817878518;35387.9062283474;15120.4447406138;7252.35503954176;6712.13027869876;35405.2283138932;10668.0145647776;6755.17434259712;3193.42892844268;2887.69879333443;2914.5424740028;18;19;25;39;32
"Gagny";93032;30862.2085613164;26665.9564102732;4931.47269510823;4871.92071054091;3192.14069622188;2775.75485612707;27100.8089852571;8895.80167611179;4951.59912069597;7418.50848216613;27193.3217693765;6195.41210598019;5311.52937231583;3030.9626320795;2675.45993620819;2647.18483531235;24;27;31;29;15
"Gournay-sur-Marne";93033;5544;4464;455;832;733;751;4758;1088;915;1809;4889;578;934;750;682;734;33;38;44;33;16
"L'Île-Saint-Denis";93039;6122.26931728148;4641.7353865639;1458.92970805884;715.19873704529;443.621412686699;399.445785246251;4633.18402015949;2046.473247658;781.149016504427;946.952594763043;5292.15804998344;1623.77615495204;873.770640981066;458.143536725829;472.573486493515;500.620466242218;19;20;27;42;35
"Les Lilas";93045;19110.2353533369;15791.2142801971;2494.54633552427;2640.16683106606;2003.61230714387;3463.64636746653;16131.367305771;4615.96050098563;2866.99515879009;6310.58504488185;16957.9120152687;3127.20149616335;2574.55390333115;1749.24455015992;2385.04318263539;3641.63730554326;25;39;46;84;18
"Livry-Gargan";93046;35350.0815226968;30054.9153620198;5542.31984694844;5434.89065990169;3632.98464419329;3229.18109000887;30536.7619583909;10743.3283250184;5826.16481294762;7268.80402785505;31414.4919133865;7258.11423815839;6007.16168963371;3568.82718861948;3125.91765394903;2561.14669321686;24;24;29;21;21
"Montfermeil";93047;20753.958797514;16536.0221242791;4883.81175125867;2328.65130235917;1510.28431570449;1161.34634110301;17466.5504842885;7535.06852529072;2850.75000234698;3386.87635568118;17991.4786376129;4965.7257832772;3226.88723523306;1815.69181946007;1271.51677986001;1103.10516187458;18;19;23;28;21
"Montreuil";93048;88192.4658850026;71558.0192710896;19316.7975502688;11108.3247496693;7639.57177494218;12086.8805278832;72736.3424860993;25855.3779736977;11275.3242390972;24859.5206006863;77135.2987701337;18669.5469894786;11863.7714925017;7328.30395971616;9352.87263166307;15010.7551025979;21;34;41;95;21
"Neuilly-Plaisance";93049;16991.5970018305;14344.3726086112;2614.53798800698;2499.45539815557;1865.80050583129;2432.30584229515;14505.9558860566;4111.66740640235;2643.81913163831;5177.44996417544;14655.8940783095;2765.58809068209;2564.20716409729;1837.67822226086;1920.75046241171;2289.40371410353;26;36;41;58;14
"Neuilly-sur-Marne";93050;27711.1562217513;22817.0491449782;5114.96265643992;3874.65418016811;2996.90613147772;2341.57900280178;23856.0471126402;8115.3615903551;4347.97314964182;6404.0565629875;24114.5580965105;5460.21303848306;4575.90010997576;3034.49810609146;2465.27518403806;2331.5956881556;26;27;32;23;19
"Noisy-le-Grand";93051;53666.9024253461;42871.6711896678;8598.46235391317;7581.61458643317;6012.16498185799;7100.13265528732;42738.0430731867;13518.6687397363;7878.33016081878;13883.4161282361;46420.1756019009;9572.40113451869;8454.7856397888;5978.69674961194;5342.73473326494;6669.81054863912;28;32;39;39;22
"Noisy-le-Sec";93053;33575.3719893517;26213.4250924134;7034.65618297803;4319.31551953252;2564.68587971923;2697.11700219229;27849.5702547807;11712.4440856924;4689.21611401908;6232.74911468688;29203.7013186737;8288.50168316269;5464.95075194771;3061.94602290185;2570.54344890943;2555.06772160966;20;22;28;40;27
